site,treatment,tension,AminoSugar,Carb,ConHC,Lignin,Lipid,Protein,Tannin,UnsatHC,Other,total
CPCRW,drought,1.5 kPa,0.043 ± 0.005,0.131 ± 0.023,0.01 ± 0.002,0.474 ± 0.063,0.124 ± 0.052,0.166 ± 0.02,0.023 ± 0.006,0.002 ± 0,0.027 ± 0.019,1
CPCRW,field moist,1.5 kPa,0.003 ± 0.001,0.004 ± 0.001,0.023 ± 0.002,0.587 ± 0.094,0.242 ± 0.083,0.116 ± 0.014,0.018 ± 0.002,0.007 ± 0.001,0.001 ± 0,1
CPCRW,saturation,1.5 kPa,0.005 ± 0.001,0.005 ± 0.001,0.014 ± 0.004,0.526 ± 0.033,0.243 ± 0.027,0.19 ± 0.02,0.01 ± 0.002,0.007 ± 0.002,0.001 ± 0,1
CPCRW,time zero saturation,1.5 kPa,0.008 ± 0.001,0.004 ± 0,0.026 ± 0.007,0.493 ± 0.058,0.242 ± 0.041,0.199 ± 0.029,0.017 ± 0.003,0.01 ± 0.002,0.001 ± 0,1
DWP,drought,1.5 kPa,0.01 ± 0.002,0.083 ± 0.012,0.023 ± 0.003,0.434 ± 0.041,0.216 ± 0.031,0.204 ± 0.021,0.004 ± 0.001,0.016 ± 0.011,0.009 ± 0.001,1
DWP,field moist,1.5 kPa,0.007 ± 0.001,0.003 ± 0,0.031 ± 0.009,0.565 ± 0.02,0.208 ± 0.015,0.144 ± 0.011,0.025 ± 0.003,0.015 ± 0.004,0.002 ± 0,1
DWP,saturation,1.5 kPa,0.003 ± 0.001,0.008 ± 0.002,0.07 ± 0.012,0.541 ± 0.072,0.212 ± 0.054,0.129 ± 0.023,0.019 ± 0.005,0.017 ± 0.003,0.002 ± 0,1
DWP,time zero saturation,1.5 kPa,0.078 ± 0.025,0.11 ± 0.035,0.017 ± 0.005,0.153 ± 0.038,0.294 ± 0.123,0.301 ± 0.022,0.031 ± 0.011,0.01 ± 0.002,0.008 ± 0.002,1
SR,drought,1.5 kPa,0.007 ± 0.002,0.001 ± 0,0.015 ± 0.004,0.302 ± 0.021,0.434 ± 0.019,0.186 ± 0.015,0.002 ± 0.001,0.051 ± 0.017,0.003 ± 0.001,1
SR,field moist,1.5 kPa,0.016 ± 0.005,0.016 ± 0.006,0.007 ± 0.003,0.289 ± 0.102,0.448 ± 0.115,0.202 ± 0.048,0.004 ± 0.001,0.016 ± 0.002,0.001 ± 0,1
SR,saturation,1.5 kPa,0.006 ± 0.001,0.008 ± 0.003,0.006 ± 0.001,0.193 ± 0.029,0.65 ± 0.036,0.095 ± 0.009,0.002 ± 0.001,0.041 ± 0.008,0 ± 0,1
SR,time zero saturation,1.5 kPa,0.018 ± 0.003,0.005 ± 0.001,0.013 ± 0.003,0.159 ± 0.008,0.438 ± 0.063,0.331 ± 0.055,0.002 ± 0.001,0.029 ± 0.008,0.004 ± 0.001,1
